1/2,1 HALF
1/2,AND 1 HALF
1ST,01ST
2ND,02ND
3RD,03RD
4TH,04TH
5TH,05TH
6TH,06TH
7TH,07TH
8TH,08TH
9TH,09TH
ACADEMY,ACAD
ACADEMY,ACADEM
ACADEMY,ACDMY
ACCESS,ACC
ACCESS,ACCSS
ADDITION,ADD
ADDITION,ADDN
ADDRRESS,ADDR
ADJACENT,ADJ
ADJACENT,ADJAC
AGENCY,AGCY
AGENCY,AGENC
AGENCY,AGNCY
AGRICULTURE,AGRCLT
AGUSTA,AUGUSTA
AIRCRAFT,AIRCRFT
AIRCRAFT,ARCRFT
AIRLINE,ARLN
AIRPORT,AIRP
AIRPORT,AIRPO
AIRPORT,AIRPOR
AIRPORT,AIRPRT
AIRPORT,AIRPT
AIRPORT,ARPRT
AIRPORT,ARPT
AIRWAY,ARWY
ALLEGHENY,ALLEGHENEY
ALLEY,ALLEE
ALLEY,ALLY
ALLEY,ALY
ALTERNATE,ALT
AMBULANCE,AMBL
AMERICA,AMER
AMERICAN,AMERCN
AMUSEMENT,AMUS
ANIMAL,ANML
ANNEX,ANEX
ANNEX,ANNX
ANNEX,ANX
APARTMENT,APART
APARTMENT,APRTMNT
APARTMENT,APT
APARTMENT,APTMNT
APARTMENTS,APTS
APPROXIMATELY,APP
APPROXIMATELY,APPR
APPROXIMATELY,APPROX
APPROXIMATELY,APPX
APPROXIMATELY,APROX
ARCADE,ARC
ARENDELL,ARENDEL
ARMORY,ARMRY
ARSENAL,ARSNL
ASSOCIATION,ASSCO
ASSOCIATION,ASSN
ASSOCIATION,ASSOC
ATLANTIC,ATLNTC
AUDITORIUM,ADTRM
AVENUE,AV
AVENUE,AVE
AVENUE,AVEN
AVENUE,AVENE
AVENUE,AVENU
AVENUE,AVN
AVENUE,AVNUE
AVENUES,AVES
AYRDALE CRESCENT,AYRDALECRESCENT
BALLROOM,BLLRM
BALTIMORE,BALT
BASEMENT,BSMT
BAYOU,BAYOO
BAYOU,BYU
BEACH,BCH
BELLMORE,BELMORE
BELTWAY,BLTW
BENJAMIN FRANKLIN,B FRANKLIN
BENJAMIN FRANKLIN,BEN FRANKLIN
BENJAMIN FRANKLIN,BENJ FRANKLIN
BETHLEHEM,BTHL
BETWEEN,BETW
BETWEEN,BETWN
BETWEEN,BTW
BETWEEN,BTWN
BIRMINGHAM,BHAM
BLOCK,BLCK
BLOCK,BLK
BLOCK,BLO
BLOCK OF,BL OF
BLOCKS,BLCKS
BLOCKS,BLKS
BLUE GRASS,BLUEGRASS
BLUFF,BLF
BLUFF,BLUF
BLUFFS,BLFS
BONNAFFON,BONAFFON
BONNAFFON,BONAFON
BONNAFFON,BONNAFON
BOTTOM,BOT
BOTTOM,BOTTM
BOTTOM,BTM
BOULEVARD,BLD
BOULEVARD,BLV
BOULEVARD,BLVD
BOULEVARD,BOUL
BOULEVARD,BOULIVARD
BOULEVARD,BOULV
BOULEVARD,BULLEVARD
BOULEVARD,BULLIVARD
BOULEVARD,BVD
BOULEVARD,BVLD
BOULEVARDS,BLVDS
BOUNDARY,BNDRY
BOX,BX
BRANCH,BR
BRANCH,BRNCH
BRIDGE,BRDG
BRIDGE,BRDGE
BRIDGE,BRG
BROAD,BRD
BROADWAY,BDWY
BROADWAY,BRDWY
BROOK,BK
BROOK,BRK
BROOKLYN,BKLYN
BROOKLYN,BRKLYN
BROOKS,BRKS
BROTHERS,BROS
BUILDING,BLDG
BUILDING,BLG
BUILDINGS,BLDGS
BURGS,BGS
BUSINESS,BUS
BUSINESS,BUSINES
BUSINESS,BUSSINESS
BUSTLETON,BSTL
BYPASS,BY PASS
BYPASS,BYP
BYPASS,BYPA
BYPASS,BYPAS
BYPASS,BYPS
CAMINO DE,CAM DE
CAMINO DEL,CAM DEL
CAMP,CMP
CAMPGROUND,CMPGRND
CAMPING,CMPNG
CAMPSITE,CMPST
CAMPUS,CMPUS
CANYON,CANYN
CANYON,CN
CANYON,CNYN
CANYON,CYN
CAPE,CP
CAPE,CPE
CAPITOL,CPTL
CAPITOL,CPTOL
CARPENTER,CRP
CATHARINE,CATHERINE
CAUSEWAY,CAUSE WAY
CAUSEWAY,CAUSEWY
CAUSEWAY,CAUSWAY
CAUSEWAY,CAUSWY
CAUSEWAY,CSWY
CECIL B MOORE,CB MOORE
CECIL B MOORE,C B MOORE
CECIL B MOORE,CBM
CEMETERY,CEM
CEMETERY,CEMENTARY
CEMETERY,CEMENTERY
CEMETERY,CEMETARY
CEMETERY,CMTRY
CENTER,CENT
CENTER,CENTR
CENTER,CENTRE
CENTER,CNT
CENTER,CNTER
CENTER,CNTR
CENTER,CTR
CENTERS,CENTRS
CENTERS,CNTERS
CENTERS,CNTRS
CENTERS,CTRS
CENTRAL,CENTL
CENTRAL,CNTL
CENTRAL,CNTRL
CHAMPLOST,CHM
CHANNEL,CHNNL
CHESTNUT,CHT
CHESWICK,CHESTWICK
CHICAGO,CHGO
CHRISTOPHER COLUMBUS,CHRIS COLUMBUS
CHURCH,CHU
CHURCH,CHUR
CHURCH,CHURC
CIRCLE,CI
CIRCLE,CIR
CIRCLE,CIRC
CIRCLE,CIRCL
CIRCLE,CRCL
CIRCLE,CRCLE
CIRCLES,CIRCLS
CIRCLES,CIRCS
CIRCLES,CIRS
CIRCLES,CRCLES
