ALLEY,AL,ALY,0
ALLEY,ALLEE,ALY,0
ALLEY,ALLEY,ALY,0
ALLEY,ALLY,ALY,0
ALLEY,ALY,ALY,1
ANNEX,ANEX,ANX,0
ANNEX,ANNEX,ANX,0
ANNEX,ANNX,ANX,0
ANNEX,ANX,ANX,1
ARCADE,ARC,ARC,1
ARCADE,ARCADE,ARC,0
AVENUE,AV,AVE,0
AVENUE,AVE,AVE,1
AVENUE,AVEN,AVE,0
AVENUE,AVENU,AVE,0
AVENUE,AVENUE,AVE,0
AVENUE,AVN,AVE,0
AVENUE,AVNUE,AVE,0
AVENUE,AZE,AVE,0,$
BAYOO,BAYOO,BYU,0
BAYOO,BAYOU,BYU,0
BEACH,BCH,BCH,1
BEACH,BEACH,BCH,0
BEND,BEND,BND,0
BURG,BG,BG,1
BURGS,BGS,BGS,1
BLUFF,BLF,BLF,1
BLUFFS,BLFS,BLFS,1
BLUFF,BLUF,BLF,0
BLUFF,BLUFF,BLF,0
BLUFFS,BLUFFS,BLFS,0
BOULEVARD,BLV,BLVD,0,$
BOULEVARD,BLVD,BLVD,1
BOULEVARD,BLVD,BLVD,1
BEND,BND,BND,1
BOTTOM,BOT,BTM,0
BOTTOM,BOTTM,BTM,0
BOTTOM,BOTTOM,BTM,0
BOULEVARD,BOUL,BLVD,0
BOULEVARD,BOULEVARD,BLVD,0
BOULEVARD,BOULV,BLVD,0
BRANCH,BR,BR,1
BRANCH,BRANCH,BR,0
BRANCH,BRCH,BR,0
BRIDGE,BRDG,BRG,0
BRIDGE,BRDGE,BRG,0
BRIDGE,BRG,BRG,1
BURGS,BRGS,BGS,0
BRIDGE,BRIDGE,BRG,0
BROOK,BRK,BRK,1
BROOKS,BRKS,BRKS,1
BRANCH,BRNCH,BR,0
BROOK,BROOK,BRK,0
BROOKS,BROOKS,BRKS,0
BOTTOM,BTM,BTM,1
BURG,BURG,BG,0
BURGS,BURGS,BGS,0
BYPASS,BYP,BYP,1
BYPASS,BYPA,BYP,0
BYPASS,BYPAS,BYP,0
BYPASS,BYPASS,BYP,0
BYPASS,BYPS,BYP,0
BAYOO,BYU,BYU,1
CAMP,CAMP,CP,0
CANYON,CANYN,CYN,0
CANYON,CANYON,CYN,0
CAPE,CAPE,CPE,0
CAUSEWAY,CAUSEWAY,CSWY,0
CAUSEWAY,CAUSWAY,CSWY,0
CENTER,CEN,CTR,0
CENTER,CENT,CTR,0
CENTER,CENTER,CTR,0
CENTERS,CENTERS,CTRS,0
CENTER,CENTR,CTR,0
CENTER,CENTRE,CTR,0
CIRCLE,CI,CIR,0
CIRCLE,CIR,CIR,1
CIRCLE,CIRC,CIR,0
CIRCLE,CIRCL,CIR,0
CIRCLE,CIRCLE,CIR,0
CIRCLES,CIRCLES,CIRS,0
CIRCLES,CIRS,CIRS,1
